seed,patient,direction,epoch,image,metric,performance
0,55,x,0,mean,C,0.5912613204194762
0,55,x,0,mean,CNR,11.628926121169266
0,55,x,0,reconst,C,0.31063494086265564
0,55,x,0,reconst,CNR,4.341891208625693
0,55,x,0,superres,C,0.31063494086265564
0,55,x,0,superres,CNR,4.341891208625693
0,55,x,0,NLM,C,0.16984505951404572
0,55,x,0,NLM,CNR,13.860587019389184
0,55,x,50,mean,C,0.5912613204194762
0,55,x,50,mean,CNR,11.628926121169266
0,55,x,50,reconst,C,-0.00042967943591065705
0,55,x,50,reconst,CNR,-2.769960543521615
0,55,x,50,superres,C,-0.00042967943591065705
0,55,x,50,superres,CNR,-2.769960543521615
0,55,x,50,NLM,C,-0.00036970514338463545
0,55,x,50,NLM,CNR,-9.756613334176125
0,55,x,100,mean,C,0.5912613204194762
0,55,x,100,mean,CNR,11.628926121169266
0,55,x,100,reconst,C,0.00010268494952470064
0,55,x,100,reconst,CNR,2.962512116413359
0,55,x,100,superres,C,0.00010268494952470064
0,55,x,100,superres,CNR,2.962512116413359
0,55,x,100,NLM,C,5.210805466049351e-05
0,55,x,100,NLM,CNR,14.489856429882147
0,55,x,150,mean,C,0.5912613204194762
0,55,x,150,mean,CNR,11.628926121169266
0,55,x,150,reconst,C,0.00012325278657954186
0,55,x,150,reconst,CNR,3.762051193309501
0,55,x,150,superres,C,0.00012325278657954186
0,55,x,150,superres,CNR,3.762051193309501
0,55,x,150,NLM,C,6.451477383961901e-05
0,55,x,150,NLM,CNR,20.516245597241866
0,55,x,200,mean,C,0.5912613204194762
0,55,x,200,mean,CNR,11.628926121169266
0,55,x,200,reconst,C,-6.954018317628652e-05
0,55,x,200,reconst,CNR,-1.895447011989694
0,55,x,200,superres,C,-6.954018317628652e-05
0,55,x,200,superres,CNR,-1.895447011989694
0,55,x,200,NLM,C,1.5710018487880006e-05
0,55,x,200,NLM,CNR,2.5819411204449456
0,55,x,250,mean,C,0.5912613204194762
0,55,x,250,mean,CNR,11.628926121169266
0,55,x,250,reconst,C,0.00017817238403949887
0,55,x,250,reconst,CNR,2.7970377235137933
0,55,x,250,superres,C,0.00017817238403949887
0,55,x,250,superres,CNR,2.7970377235137933
0,55,x,250,NLM,C,8.397146302741021e-05
0,55,x,250,NLM,CNR,14.934680176727207
0,55,x,300,mean,C,0.5912613204194762
0,55,x,300,mean,CNR,11.628926121169266
0,55,x,300,reconst,C,-0.00038486221455968916
0,55,x,300,reconst,CNR,-3.3017307589945855
0,55,x,300,superres,C,-0.00038486221455968916
0,55,x,300,superres,CNR,-3.3017307589945855
0,55,x,300,NLM,C,-6.142571510281414e-05
0,55,x,300,NLM,CNR,-4.266882497853561
0,55,x,350,mean,C,0.5912613204194762
0,55,x,350,mean,CNR,11.628926121169266
0,55,x,350,reconst,C,0.00022711590281687677
0,55,x,350,reconst,CNR,2.50283909125943
0,55,x,350,superres,C,0.00022711590281687677
0,55,x,350,superres,CNR,2.50283909125943
0,55,x,350,NLM,C,0.0001113699545385316
0,55,x,350,NLM,CNR,10.103808544212388
0,55,x,400,mean,C,0.5912613204194762
0,55,x,400,mean,CNR,11.628926121169266
0,55,x,400,reconst,C,0.0012656627222895622
0,55,x,400,reconst,CNR,4.018830623602386
0,55,x,400,superres,C,0.0012656627222895622
0,55,x,400,superres,CNR,4.018830623602386
0,55,x,400,NLM,C,0.0005905893049202859
0,55,x,400,NLM,CNR,17.880203993355554
0,55,x,450,mean,C,0.5912613204194762
0,55,x,450,mean,CNR,11.628926121169266
0,55,x,450,reconst,C,0.06250286102294922
0,55,x,450,reconst,CNR,2.149874199683817
0,55,x,450,superres,C,0.06250286102294922
0,55,x,450,superres,CNR,2.149874199683817
0,55,x,450,NLM,C,0.020299505442380905
0,55,x,450,NLM,CNR,6.165601525262518
0,55,x,500,mean,C,0.5912613204194762
0,55,x,500,mean,CNR,11.628926121169266
0,55,x,500,reconst,C,0.21636171638965607
0,55,x,500,reconst,CNR,4.495200932585757
0,55,x,500,superres,C,0.21636171638965607
0,55,x,500,superres,CNR,4.495200932585757
0,55,x,500,NLM,C,0.12585708498954773
0,55,x,500,NLM,CNR,2.601285431899003
0,55,x,550,mean,C,0.5912613204194762
0,55,x,550,mean,CNR,11.628926121169266
0,55,x,550,reconst,C,0.2929321229457855
0,55,x,550,reconst,CNR,10.06374471774726
0,55,x,550,superres,C,0.2929321229457855
0,55,x,550,superres,CNR,10.06374471774726
0,55,x,550,NLM,C,0.2520943284034729
0,55,x,550,NLM,CNR,14.817487316342715
0,55,x,600,mean,C,0.5912613204194762
0,55,x,600,mean,CNR,11.628926121169266
0,55,x,600,reconst,C,0.33368706703186035
0,55,x,600,reconst,CNR,10.923008731400124
0,55,x,600,superres,C,0.33368706703186035
0,55,x,600,superres,CNR,10.923008731400124
0,55,x,600,NLM,C,0.3142295777797699
0,55,x,600,NLM,CNR,26.281244556857366
0,55,x,650,mean,C,0.5912613204194762
0,55,x,650,mean,CNR,11.628926121169266
0,55,x,650,reconst,C,0.37996524572372437
0,55,x,650,reconst,CNR,16.024199668238918
0,55,x,650,superres,C,0.37996524572372437
0,55,x,650,superres,CNR,16.024199668238918
0,55,x,650,NLM,C,0.3657121956348419
0,55,x,650,NLM,CNR,42.08437964131294
0,55,x,700,mean,C,0.5912613204194762
0,55,x,700,mean,CNR,11.628926121169266
0,55,x,700,reconst,C,0.419592022895813
0,55,x,700,reconst,CNR,17.19154324740117
0,55,x,700,superres,C,0.419592022895813
0,55,x,700,superres,CNR,17.19154324740117
0,55,x,700,NLM,C,0.3994298577308655
0,55,x,700,NLM,CNR,51.77085512352657
0,55,x,750,mean,C,0.5912613204194762
0,55,x,750,mean,CNR,11.628926121169266
0,55,x,750,reconst,C,0.4523344933986664
0,55,x,750,reconst,CNR,16.294303229238285
0,55,x,750,superres,C,0.4523344933986664
0,55,x,750,superres,CNR,16.294303229238285
0,55,x,750,NLM,C,0.4258314073085785
0,55,x,750,NLM,CNR,61.52465082144044
0,55,x,800,mean,C,0.5912613204194762
0,55,x,800,mean,CNR,11.628926121169266
0,55,x,800,reconst,C,0.49123600125312805
0,55,x,800,reconst,CNR,17.564157127972216
0,55,x,800,superres,C,0.49123600125312805
0,55,x,800,superres,CNR,17.564157127972216
0,55,x,800,NLM,C,0.462402880191803
0,55,x,800,NLM,CNR,55.38524747620943
0,55,x,850,mean,C,0.5912613204194762
0,55,x,850,mean,CNR,11.628926121169266
0,55,x,850,reconst,C,0.5139729380607605
0,55,x,850,reconst,CNR,28.937071278715553
0,55,x,850,superres,C,0.5139729380607605
0,55,x,850,superres,CNR,28.937071278715553
0,55,x,850,NLM,C,0.48856034874916077
0,55,x,850,NLM,CNR,103.81870532357388
0,55,x,900,mean,C,0.5912613204194762
0,55,x,900,mean,CNR,11.628926121169266
0,55,x,900,reconst,C,0.533832848072052
0,55,x,900,reconst,CNR,41.0943902408164
0,55,x,900,superres,C,0.533832848072052
0,55,x,900,superres,CNR,41.0943902408164
0,55,x,900,NLM,C,0.5104366540908813
0,55,x,900,NLM,CNR,57.49709319606335
0,55,x,950,mean,C,0.5912613204194762
0,55,x,950,mean,CNR,11.628926121169266
0,55,x,950,reconst,C,0.5559410452842712
0,55,x,950,reconst,CNR,32.53897019621103
0,55,x,950,superres,C,0.5559410452842712
0,55,x,950,superres,CNR,32.53897019621103
0,55,x,950,NLM,C,0.5323477983474731
0,55,x,950,NLM,CNR,66.60873174762094
0,55,x,1000,mean,C,0.5912613204194762
0,55,x,1000,mean,CNR,11.628926121169266
0,55,x,1000,reconst,C,0.5763226747512817
0,55,x,1000,reconst,CNR,39.81030285862979
0,55,x,1000,superres,C,0.5763226747512817
0,55,x,1000,superres,CNR,39.81030285862979
0,55,x,1000,NLM,C,0.5542967915534973
0,55,x,1000,NLM,CNR,98.14241943736472
0,55,x,1050,mean,C,0.5912613204194762
0,55,x,1050,mean,CNR,11.628926121169266
0,55,x,1050,reconst,C,0.5898861885070801
0,55,x,1050,reconst,CNR,44.07767569152832
0,55,x,1050,superres,C,0.5898861885070801
0,55,x,1050,superres,CNR,44.07767569152832
0,55,x,1050,NLM,C,0.56936115026474
0,55,x,1050,NLM,CNR,139.63698527883133
0,55,x,1100,mean,C,0.5912613204194762
0,55,x,1100,mean,CNR,11.628926121169266
0,55,x,1100,reconst,C,0.5969690084457397
0,55,x,1100,reconst,CNR,21.80087377757193
0,55,x,1100,superres,C,0.5969690084457397
0,55,x,1100,superres,CNR,21.80087377757193
0,55,x,1100,NLM,C,0.5774663090705872
0,55,x,1100,NLM,CNR,44.888776756728504
0,55,x,1150,mean,C,0.5912613204194762
0,55,x,1150,mean,CNR,11.628926121169266
0,55,x,1150,reconst,C,0.6044957637786865
0,55,x,1150,reconst,CNR,14.53398483756561
0,55,x,1150,superres,C,0.6044957637786865
0,55,x,1150,superres,CNR,14.53398483756561
0,55,x,1150,NLM,C,0.5848806500434875
0,55,x,1150,NLM,CNR,21.335326273297294
0,55,x,1200,mean,C,0.5912613204194762
0,55,x,1200,mean,CNR,11.628926121169266
0,55,x,1200,reconst,C,0.6021921634674072
0,55,x,1200,reconst,CNR,11.937477320221944
0,55,x,1200,superres,C,0.6021921634674072
0,55,x,1200,superres,CNR,11.937477320221944
0,55,x,1200,NLM,C,0.5819947123527527
0,55,x,1200,NLM,CNR,15.420053671688754
0,55,x,1250,mean,C,0.5912613204194762
0,55,x,1250,mean,CNR,11.628926121169266
0,55,x,1250,reconst,C,0.5997332334518433
0,55,x,1250,reconst,CNR,11.350743252243584
0,55,x,1250,superres,C,0.5997332334518433
0,55,x,1250,superres,CNR,11.350743252243584
0,55,x,1250,NLM,C,0.5776857733726501
0,55,x,1250,NLM,CNR,13.464361914122513
0,55,x,1300,mean,C,0.5912613204194762
0,55,x,1300,mean,CNR,11.628926121169266
0,55,x,1300,reconst,C,0.6005666851997375
0,55,x,1300,reconst,CNR,11.60125199811276
0,55,x,1300,superres,C,0.6005666851997375
0,55,x,1300,superres,CNR,11.60125199811276
0,55,x,1300,NLM,C,0.5771691203117371
0,55,x,1300,NLM,CNR,14.164976476543654
0,55,x,1350,mean,C,0.5912613204194762
0,55,x,1350,mean,CNR,11.628926121169266
0,55,x,1350,reconst,C,0.5985589027404785
0,55,x,1350,reconst,CNR,12.323277925017084
0,55,x,1350,superres,C,0.5985589027404785
0,55,x,1350,superres,CNR,12.323277925017084
0,55,x,1350,NLM,C,0.5741726756095886
0,55,x,1350,NLM,CNR,15.531157752901391
0,55,x,1400,mean,C,0.5912613204194762
0,55,x,1400,mean,CNR,11.628926121169266
0,55,x,1400,reconst,C,0.5980180501937866
0,55,x,1400,reconst,CNR,12.327031430249841
0,55,x,1400,superres,C,0.5980180501937866
0,55,x,1400,superres,CNR,12.327031430249841
0,55,x,1400,NLM,C,0.5743581056594849
0,55,x,1400,NLM,CNR,15.14986147479306
0,55,x,1450,mean,C,0.5912613204194762
0,55,x,1450,mean,CNR,11.628926121169266
0,55,x,1450,reconst,C,0.5963349342346191
0,55,x,1450,reconst,CNR,11.821293416143558
0,55,x,1450,superres,C,0.5963349342346191
0,55,x,1450,superres,CNR,11.821293416143558
0,55,x,1450,NLM,C,0.5734041333198547
0,55,x,1450,NLM,CNR,14.323826979302979
0,55,x,1500,mean,C,0.5912613204194762
0,55,x,1500,mean,CNR,11.628926121169266
0,55,x,1500,reconst,C,0.595916748046875
0,55,x,1500,reconst,CNR,11.606857321165496
0,55,x,1500,superres,C,0.595916748046875
0,55,x,1500,superres,CNR,11.606857321165496
0,55,x,1500,NLM,C,0.5737460255622864
0,55,x,1500,NLM,CNR,14.213848661393818
0,55,x,1550,mean,C,0.5912613204194762
0,55,x,1550,mean,CNR,11.628926121169266
0,55,x,1550,reconst,C,0.5958205461502075
0,55,x,1550,reconst,CNR,11.505481085891136
0,55,x,1550,superres,C,0.5958205461502075
0,55,x,1550,superres,CNR,11.505481085891136
0,55,x,1550,NLM,C,0.5737170577049255
0,55,x,1550,NLM,CNR,14.05267018825646
0,55,x,1600,mean,C,0.5912613204194762
0,55,x,1600,mean,CNR,11.628926121169266
